"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","monparcourshandicap.gouv.fr/45.60.154.6","443","INFO","HTTP","",""
"pre_128cipher","monparcourshandicap.gouv.fr/45.60.154.6","443","INFO","No 128 cipher limit bug","",""
"SSLv2","monparcourshandicap.gouv.fr/45.60.154.6","443","OK","not offered","",""
"SSLv3","monparcourshandicap.gouv.fr/45.60.154.6","443","OK","not offered","",""
"TLS1","monparcourshandicap.gouv.fr/45.60.154.6","443","INFO","not offered","",""
"TLS1_1","monparcourshandicap.gouv.fr/45.60.154.6","443","INFO","not offered","",""
"TLS1_2","monparcourshandicap.gouv.fr/45.60.154.6","443","OK","offered","",""
"TLS1_3","monparcourshandicap.gouv.fr/45.60.154.6","443","OK","offered with final","",""
"ALPN","monparcourshandicap.gouv.fr/45.60.154.6","443","INFO","not offered","",""
"cipherlist_NULL","monparcourshandicap.gouv.fr/45.60.154.6","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","monparcourshandicap.gouv.fr/45.60.154.6","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","monparcourshandicap.gouv.fr/45.60.154.6","443","OK","not offered","","CWE-327"
"cipherlist_LOW","monparcourshandicap.gouv.fr/45.60.154.6","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","monparcourshandicap.gouv.fr/45.60.154.6","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","monparcourshandicap.gouv.fr/45.60.154.6","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","monparcourshandicap.gouv.fr/45.60.154.6","443","OK","offered","",""
"cipherlist_STRONG_FS","monparcourshandicap.gouv.fr/45.60.154.6","443","OK","offered","",""
"cipher_order-tls1_2","monparcourshandicap.gouv.fr/45.60.154.6","443","OK","server","",""
"cipherorder_TLSv1_2","monparcourshandicap.gouv.fr/45.60.154.6","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","monparcourshandicap.gouv.fr/45.60.154.6","443","OK","server","",""
"FS","monparcourshandicap.gouv.fr/45.60.154.6","443","OK","offered","",""
"FS_ciphers","monparcourshandicap.gouv.fr/45.60.154.6","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","monparcourshandicap.gouv.fr/45.60.154.6","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","monparcourshandicap.gouv.fr/45.60.154.6","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","monparcourshandicap.gouv.fr/45.60.154.6","443","INFO","valid for 7200 seconds only (<daily)","",""
