"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.defense.gouv.fr/107.154.113.47","443","INFO","HTTP","",""
"pre_128cipher","www.defense.gouv.fr/107.154.113.47","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.defense.gouv.fr/107.154.113.47","443","OK","not offered","",""
"SSLv3","www.defense.gouv.fr/107.154.113.47","443","OK","not offered","",""
"TLS1","www.defense.gouv.fr/107.154.113.47","443","INFO","not offered","",""
"TLS1_1","www.defense.gouv.fr/107.154.113.47","443","INFO","not offered","",""
"TLS1_2","www.defense.gouv.fr/107.154.113.47","443","OK","offered","",""
"TLS1_3","www.defense.gouv.fr/107.154.113.47","443","OK","offered with final","",""
"ALPN","www.defense.gouv.fr/107.154.113.47","443","INFO","not offered","",""
"cipherlist_NULL","www.defense.gouv.fr/107.154.113.47","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.defense.gouv.fr/107.154.113.47","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.defense.gouv.fr/107.154.113.47","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.defense.gouv.fr/107.154.113.47","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.defense.gouv.fr/107.154.113.47","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.defense.gouv.fr/107.154.113.47","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.defense.gouv.fr/107.154.113.47","443","OK","offered","",""
"cipherlist_STRONG_FS","www.defense.gouv.fr/107.154.113.47","443","OK","offered","",""
"cipher_order-tls1_2","www.defense.gouv.fr/107.154.113.47","443","OK","server","",""
"cipherorder_TLSv1_2","www.defense.gouv.fr/107.154.113.47","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.defense.gouv.fr/107.154.113.47","443","OK","server","",""
"FS","www.defense.gouv.fr/107.154.113.47","443","OK","offered","",""
"FS_ciphers","www.defense.gouv.fr/107.154.113.47","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.defense.gouv.fr/107.154.113.47","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.defense.gouv.fr/107.154.113.47","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.defense.gouv.fr/107.154.113.47","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.defense.gouv.fr/107.154.113.47","443","INFO","yes","",""
"sessionresumption_ticket","www.defense.gouv.fr/107.154.113.47","443","INFO","supported","",""
"sessionresumption_ID","www.defense.gouv.fr/107.154.113.47","443","INFO","supported","",""
"TLS_timestamp","www.defense.gouv.fr/107.154.113.47","443","INFO","random","",""
"certificate_compression","www.defense.gouv.fr/107.154.113.47","443","INFO","none","",""
"clientAuth","www.defense.gouv.fr/107.154.113.47","443","INFO","none","",""
"cert_numbers","www.defense.gouv.fr/107.154.113.47","443","INFO","1","",""
"cert_signatureAlgorithm","www.defense.gouv.fr/107.154.113.47","443","OK","SHA256 with RSA","",""
"cert_keySize","www.defense.gouv.fr/107.154.113.47","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.defense.gouv.fr/107.154.113.47","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.defense.gouv.fr/107.154.113.47","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.defense.gouv.fr/107.154.113.47","443","INFO","019C0411D229B6A439150433D34B449B","",""
"cert_serialNumberLen","www.defense.gouv.fr/107.154.113.47","443","INFO","16","",""
"cert_fingerprintSHA1","www.defense.gouv.fr/107.154.113.47","443","INFO","6DBA6237BA8A81042788E7491FF14620E59B310D","",""
"cert_fingerprintSHA256","www.defense.gouv.fr/107.154.113.47","443","INFO","16DEDC7D8B1057044B593B4229CF606085961A0D754403C40EC5215E917D3784","",""
