"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cartes.gouv.fr/57.128.40.173","443","INFO","HTTP","",""
"pre_128cipher","cartes.gouv.fr/57.128.40.173","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cartes.gouv.fr/57.128.40.173","443","OK","not offered","",""
"SSLv3","cartes.gouv.fr/57.128.40.173","443","OK","not offered","",""
"TLS1","cartes.gouv.fr/57.128.40.173","443","INFO","not offered","",""
"TLS1_1","cartes.gouv.fr/57.128.40.173","443","INFO","not offered","",""
"TLS1_2","cartes.gouv.fr/57.128.40.173","443","OK","offered","",""
"TLS1_3","cartes.gouv.fr/57.128.40.173","443","OK","offered with final","",""
"ALPN_HTTP2","cartes.gouv.fr/57.128.40.173","443","OK","h2","",""
"ALPN","cartes.gouv.fr/57.128.40.173","443","INFO","http/1.1","",""
"cipherlist_NULL","cartes.gouv.fr/57.128.40.173","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cartes.gouv.fr/57.128.40.173","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cartes.gouv.fr/57.128.40.173","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cartes.gouv.fr/57.128.40.173","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cartes.gouv.fr/57.128.40.173","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cartes.gouv.fr/57.128.40.173","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","cartes.gouv.fr/57.128.40.173","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cartes.gouv.fr/57.128.40.173","443","OK","offered","",""
"cipher_order-tls1_2","cartes.gouv.fr/57.128.40.173","443","OK","server","",""
"cipherorder_TLSv1_2","cartes.gouv.fr/57.128.40.173","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","cartes.gouv.fr/57.128.40.173","443","OK","server","",""
"FS","cartes.gouv.fr/57.128.40.173","443","OK","offered","",""
"FS_ciphers","cartes.gouv.fr/57.128.40.173","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","cartes.gouv.fr/57.128.40.173","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","cartes.gouv.fr/57.128.40.173","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","cartes.gouv.fr/57.128.40.173","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","cartes.gouv.fr/57.128.40.173","443","INFO","yes","",""
"sessionresumption_ticket","cartes.gouv.fr/57.128.40.173","443","INFO","not supported","",""
"sessionresumption_ID","cartes.gouv.fr/57.128.40.173","443","INFO","supported","",""
"TLS_timestamp","cartes.gouv.fr/57.128.40.173","443","INFO","random","",""
"certificate_compression","cartes.gouv.fr/57.128.40.173","443","INFO","none","",""
"clientAuth","cartes.gouv.fr/57.128.40.173","443","INFO","none","",""
"cert_numbers","cartes.gouv.fr/57.128.40.173","443","INFO","1","",""
"cert_signatureAlgorithm","cartes.gouv.fr/57.128.40.173","443","OK","SHA256 with RSA","",""
"cert_keySize","cartes.gouv.fr/57.128.40.173","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","cartes.gouv.fr/57.128.40.173","443","INFO","Digital Signature, Key Encipherment","",""
