"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","HTTP","",""
"pre_128cipher","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","No 128 cipher limit bug","",""
"SSLv2","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","not offered","",""
"SSLv3","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","not offered","",""
"TLS1","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","not offered","",""
"TLS1_1","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","not offered","",""
"TLS1_2","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","offered","",""
"TLS1_3","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","offered with final","",""
"ALPN_HTTP2","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","h2","",""
"ALPN","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","http/1.1","",""
"cipherlist_NULL","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","not offered","","CWE-327"
"cipherlist_LOW","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","not offered","",""
"cipherlist_STRONG_FS","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","offered","",""
"cipher_order-tls1_2","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","server","",""
"cipherorder_TLSv1_2","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384","",""
"cipher_order","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","server","",""
"FS","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","offered","",""
"FS_ciphers","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","secp384r1","",""
"TLS_extensions","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'supported versions/#43' 'key share/#51' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","yes","",""
"sessionresumption_ticket","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","not supported","",""
"sessionresumption_ID","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","supported","",""
"TLS_timestamp","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","random","",""
"certificate_compression","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","none","",""
"clientAuth","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","none","",""
"cert_numbers","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","1","",""
"cert_signatureAlgorithm","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","SHA256 with RSA","",""
"cert_keySize","longuevieauxobjets.gouv.fr/91.151.77.101","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","Digital Signature","",""
"cert_extKeyUsage","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","04D70DC5778DADE874BC71560A112DACF80E","",""
"cert_serialNumberLen","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","18","",""
"cert_fingerprintSHA1","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","8F86302293C00E2676F3F366906A244A4830FA1B","",""
"cert_fingerprintSHA256","longuevieauxobjets.gouv.fr/91.151.77.101","443","INFO","736796EB0BE9D5DA8D38EE33EDB8BEAF3BC2815A7FE9F794514186DCA109A4DF","",""
